index,score,threshold,prediction,attack
243,656366.625,45.028438568115234,1,0
244,668909.0,45.028438568115234,1,0
245,664050.875,45.028438568115234,1,0
246,662192.0,45.028438568115234,1,0
247,661341.9375,45.028438568115234,1,0
248,659756.9375,45.028438568115234,1,1
249,709590.0,45.028438568115234,1,1
250,688830.625,45.028438568115234,1,1
251,681150.625,45.028438568115234,1,1
252,677513.4375,45.028438568115234,1,1
253,671287.625,45.028438568115234,1,1
254,682786.875,45.028438568115234,1,1
255,690212.1875,45.028438568115234,1,0
256,683168.125,45.028438568115234,1,0
257,680286.25,45.028438568115234,1,0
258,677764.5625,45.028438568115234,1,0
259,675871.3125,45.028438568115234,1,0
260,675592.9375,45.028438568115234,1,0
261,675592.9375,45.028438568115234,1,0
262,675592.9375,45.028438568115234,1,0
263,675824.25,45.028438568115234,1,1
264,3306370.5,45.028438568115234,1,0
265,747283.3125,45.028438568115234,1,0
266,721625.5625,45.028438568115234,1,0
267,711231.125,45.028438568115234,1,0
268,702806.8125,45.028438568115234,1,0
269,695349.0625,45.028438568115234,1,0
270,694056.75,45.028438568115234,1,0
271,694056.75,45.028438568115234,1,0
272,694056.75,45.028438568115234,1,0
273,694056.75,45.028438568115234,1,1
274,694056.75,45.028438568115234,1,0
275,4530372.0,45.028438568115234,1,0
276,498369.65625,45.028438568115234,1,0
277,289052.34375,45.028438568115234,1,0
278,420420.5,45.028438568115234,1,0
279,375719.21875,45.028438568115234,1,0
280,183354.59375,45.028438568115234,1,0
281,183335.34375,45.028438568115234,1,0
282,183333.203125,45.028438568115234,1,0
283,183332.546875,45.028438568115234,1,1
284,2508186.0,45.028438568115234,1,0
285,240692.75,45.028438568115234,1,0
286,183340.421875,45.028438568115234,1,0
287,260633.203125,45.028438568115234,1,0
288,183504.0,45.028438568115234,1,0
289,185810.234375,45.028438568115234,1,0
290,185807.8125,45.028438568115234,1,0
291,185808.171875,45.028438568115234,1,0
292,185807.015625,45.028438568115234,1,0
293,185805.578125,45.028438568115234,1,1
294,185800.125,45.028438568115234,1,1
295,185795.765625,45.028438568115234,1,1
296,185793.53125,45.028438568115234,1,1
297,185794.125,45.028438568115234,1,0
298,185771.515625,45.028438568115234,1,0
299,185552.453125,45.028438568115234,1,0
300,185452.359375,45.028438568115234,1,0
301,185377.515625,45.028438568115234,1,0
302,185379.796875,45.028438568115234,1,0
303,185363.671875,45.028438568115234,1,0
304,185363.53125,45.028438568115234,1,0
305,185363.34375,45.028438568115234,1,0
306,185361.828125,45.028438568115234,1,1
307,185361.109375,45.028438568115234,1,1
308,185361.1875,45.028438568115234,1,1
309,185360.78125,45.028438568115234,1,1
310,185360.5,45.028438568115234,1,0
311,185361.15625,45.028438568115234,1,0
312,185360.75,45.028438568115234,1,0
313,185361.21875,45.028438568115234,1,0
314,185360.0,45.028438568115234,1,0
315,185359.625,45.028438568115234,1,0
316,185359.109375,45.028438568115234,1,0
317,185359.0,45.028438568115234,1,0
318,185358.859375,45.028438568115234,1,0
319,185337.8125,45.028438568115234,1,1
320,185327.109375,45.028438568115234,1,1
321,185284.453125,45.028438568115234,1,1
322,185268.875,45.028438568115234,1,1
323,185255.40625,45.028438568115234,1,1
324,185253.53125,45.028438568115234,1,1
325,185251.515625,45.028438568115234,1,1
326,185251.65625,45.028438568115234,1,0
327,185250.921875,45.028438568115234,1,0
328,185250.75,45.028438568115234,1,0
329,185250.859375,45.028438568115234,1,0
330,185250.3125,45.028438568115234,1,0
331,185202.578125,45.028438568115234,1,0
332,185182.046875,45.028438568115234,1,0
333,185159.546875,45.028438568115234,1,0
334,185158.796875,45.028438568115234,1,0
335,185150.75,45.028438568115234,1,1
336,185147.6875,45.028438568115234,1,1
337,185146.390625,45.028438568115234,1,1
338,185145.328125,45.028438568115234,1,1
339,185145.046875,45.028438568115234,1,1
340,185144.921875,45.028438568115234,1,1
341,185144.765625,45.028438568115234,1,1
342,185144.65625,45.028438568115234,1,0
343,185144.53125,45.028438568115234,1,0
